Activity_Time,Action,Doc_ID,Doc_Name,Actor_ID,Actor_Name
2024-08-15T04:44:32.263Z,Edit,1ZS2-Go-LOBQ1jAhhMSew5U6imu-hr6qsZqFqYHjjqmQ,file3,114128337804353370964,alice@accord.foundation
2024-08-15T04:44:30.013Z,Edit,1ybJxf-Q66n9LssjGv9H-RspblPWjEsmytSSStcxm-rs,file2,114128337804353370964,alice@accord.foundation
2024-08-15T04:44:25.134Z,Edit,11P--sc6GxK3HkJbb8UGPlCKqR8PdYDzQpTatLp4hojA,file0,104174300424369407986,carol@accord.foundation
2024-08-15T04:43:43.862Z,Permission Change-to:can_view/can_comment-from:can_edit-for:alice@accord.foundation,1ybJxf-Q66n9LssjGv9H-RspblPWjEsmytSSStcxm-rs,file2,102378379302274418344,emily@accord.foundation
2024-08-15T04:43:42.083Z,Permission Change-to:none-from:can_edit-for:bob@accord.foundation,1XPrULwlEum6P9WTV2Sg1IthMcOzrA1f3rOfyjhQmHFY,file4,104174300424369407986,carol@accord.foundation
2024-08-15T04:43:39.921Z,Permission Change-to:can_edit-from:owner-for:alice@accord.foundation,1ybJxf-Q66n9LssjGv9H-RspblPWjEsmytSSStcxm-rs,file2,114128337804353370964,alice@accord.foundation
2024-08-15T04:43:39.921Z,Permission Change-to:owner-from:can_edit-for:emily@accord.foundation,1ybJxf-Q66n9LssjGv9H-RspblPWjEsmytSSStcxm-rs,file2,114128337804353370964,alice@accord.foundation
2024-08-15T04:43:37.473Z,Permission Change-to:can_edit-from:none-for:emily@accord.foundation,1ybJxf-Q66n9LssjGv9H-RspblPWjEsmytSSStcxm-rs,file2,114128337804353370964,alice@accord.foundation
2024-08-15T04:43:35.406Z,Permission Change-to:none-from:can_edit-for:emily@accord.foundation,1XPrULwlEum6P9WTV2Sg1IthMcOzrA1f3rOfyjhQmHFY,file4,102378379302274418344,emily@accord.foundation
2024-08-15T04:43:30.834Z,Permission Change-to:can_edit-from:owner-for:emily@accord.foundation,1XPrULwlEum6P9WTV2Sg1IthMcOzrA1f3rOfyjhQmHFY,file4,102378379302274418344,emily@accord.foundation
2024-08-15T04:43:30.834Z,Permission Change-to:owner-from:none-for:carol@accord.foundation,1XPrULwlEum6P9WTV2Sg1IthMcOzrA1f3rOfyjhQmHFY,file4,102378379302274418344,emily@accord.foundation
2024-08-15T04:43:27.914Z,Permission Change-to:none-from:can_view/can_comment-for:alice@accord.foundation,1XPrULwlEum6P9WTV2Sg1IthMcOzrA1f3rOfyjhQmHFY,file4,105806898968975168992,bob@accord.foundation
2024-08-15T04:43:25.736Z,Permission Change-to:none-from:can_edit-for:alice@accord.foundation,11P--sc6GxK3HkJbb8UGPlCKqR8PdYDzQpTatLp4hojA,file0,114128337804353370964,alice@accord.foundation
2024-08-15T04:43:22.030Z,Permission Change-to:none-from:can_view-for:carol@accord.foundation,1XPrULwlEum6P9WTV2Sg1IthMcOzrA1f3rOfyjhQmHFY,file4,102378379302274418344,emily@accord.foundation
2024-08-15T04:43:19.417Z,Permission Change-to:can_view-from:none-for:bob@accord.foundation,11P--sc6GxK3HkJbb8UGPlCKqR8PdYDzQpTatLp4hojA,file0,104174300424369407986,carol@accord.foundation
2024-08-15T04:43:17.440Z,Edit,1XPrULwlEum6P9WTV2Sg1IthMcOzrA1f3rOfyjhQmHFY,file4,102378379302274418344,emily@accord.foundation
2024-08-15T04:43:13.123Z,Permission Change-to:none-from:can_edit-for:carol@accord.foundation,1XAJJXN1ao3gK84GkhbEiUlq6SsNZC1G9yuyX5gkSPFM,file1,114128337804353370964,alice@accord.foundation
2024-08-15T04:43:09.315Z,Permission Change-to:none-from:can_view-for:drew@accord.foundation,1XPrULwlEum6P9WTV2Sg1IthMcOzrA1f3rOfyjhQmHFY,file4,105806898968975168992,bob@accord.foundation
2024-08-15T04:43:07.392Z,Permission Change-to:none-from:can_view-for:emily@accord.foundation,11P--sc6GxK3HkJbb8UGPlCKqR8PdYDzQpTatLp4hojA,file0,114128337804353370964,alice@accord.foundation
2024-08-15T04:43:05.466Z,Permission Change-to:can_view-from:can_edit-for:carol@accord.foundation,1XPrULwlEum6P9WTV2Sg1IthMcOzrA1f3rOfyjhQmHFY,file4,105806898968975168992,bob@accord.foundation
2024-08-15T04:42:59.527Z,Permission Change-to:can_edit-from:owner-for:bob@accord.foundation,1XPrULwlEum6P9WTV2Sg1IthMcOzrA1f3rOfyjhQmHFY,file4,105806898968975168992,bob@accord.foundation
2024-08-15T04:42:59.527Z,Permission Change-to:owner-from:can_view-for:emily@accord.foundation,1XPrULwlEum6P9WTV2Sg1IthMcOzrA1f3rOfyjhQmHFY,file4,105806898968975168992,bob@accord.foundation
2024-08-15T04:42:55.961Z,Permission Change-to:none-from:can_view-for:drew@accord.foundation,11P--sc6GxK3HkJbb8UGPlCKqR8PdYDzQpTatLp4hojA,file0,104174300424369407986,carol@accord.foundation
