Activity_Time,Action,Doc_ID,Doc_Name,Actor_ID,Actor_Name
2024-08-15T04:51:06.035Z,Permission Change-to:can_view-from:none-for:carol@accord.foundation,1vE8klIMPyzsIGyXOlmOFv8QLCYWOq57Ft_2TFZQyHcY,file2,112627686161565491345,drew@accord.foundation
2024-08-15T04:51:04.096Z,Edit,1bOOww0PCfgB0C_Nx3DQ8wBdNkB6xk1LhSUvCc4bPrU0,file4,112627686161565491345,drew@accord.foundation
2024-08-15T04:51:02.549Z,Edit,1vE8klIMPyzsIGyXOlmOFv8QLCYWOq57Ft_2TFZQyHcY,file2,112627686161565491345,drew@accord.foundation
2024-08-15T04:51:01.209Z,Edit,1KJMde5A9Bi6HRts_t_C1yYyQNXK05NTeutOwuBV2rEw,file3,105806898968975168992,bob@accord.foundation
2024-08-15T04:51:00.923Z,Edit,1KJMde5A9Bi6HRts_t_C1yYyQNXK05NTeutOwuBV2rEw,file3,105806898968975168992,bob@accord.foundation
2024-08-15T04:50:56.821Z,Permission Change-to:can_view/can_comment-from:can_edit-for:drew@accord.foundation,1bOOww0PCfgB0C_Nx3DQ8wBdNkB6xk1LhSUvCc4bPrU0,file4,104174300424369407986,carol@accord.foundation
2024-08-15T04:50:54.778Z,Edit,1g6pV4130GazjJzQL6VEnZVutMQiAwVTSWVlY496rEGA,file1,104174300424369407986,carol@accord.foundation
2024-08-15T04:50:54.326Z,Permission Change-to:none-from:can_view-for:drew@accord.foundation,1g6pV4130GazjJzQL6VEnZVutMQiAwVTSWVlY496rEGA,file1,104174300424369407986,carol@accord.foundation
2024-08-15T04:50:51.997Z,Edit,1dqEnPjdHweZy0OO7XeSpgGEBzYn5gZNo75uEO6XVqdw,file0,112627686161565491345,drew@accord.foundation
2024-08-15T04:50:50.113Z,Edit,1vE8klIMPyzsIGyXOlmOFv8QLCYWOq57Ft_2TFZQyHcY,file2,112627686161565491345,drew@accord.foundation
2024-08-15T04:50:45.568Z,Permission Change-to:none-from:can_view-for:alice@accord.foundation,1bOOww0PCfgB0C_Nx3DQ8wBdNkB6xk1LhSUvCc4bPrU0,file4,104174300424369407986,carol@accord.foundation
2024-08-15T04:50:39.647Z,Edit,1bOOww0PCfgB0C_Nx3DQ8wBdNkB6xk1LhSUvCc4bPrU0,file4,112627686161565491345,drew@accord.foundation
2024-08-15T04:50:32.068Z,Permission Change-to:can_view-from:none-for:drew@accord.foundation,1g6pV4130GazjJzQL6VEnZVutMQiAwVTSWVlY496rEGA,file1,104174300424369407986,carol@accord.foundation
2024-08-15T04:50:29.814Z,Permission Change-to:can_edit-from:owner-for:bob@accord.foundation,1KJMde5A9Bi6HRts_t_C1yYyQNXK05NTeutOwuBV2rEw,file3,105806898968975168992,bob@accord.foundation
2024-08-15T04:50:29.814Z,Permission Change-to:owner-from:none-for:drew@accord.foundation,1KJMde5A9Bi6HRts_t_C1yYyQNXK05NTeutOwuBV2rEw,file3,105806898968975168992,bob@accord.foundation
2024-08-15T04:50:26.178Z,Edit,1g6pV4130GazjJzQL6VEnZVutMQiAwVTSWVlY496rEGA,file1,104174300424369407986,carol@accord.foundation
2024-08-15T04:50:20.501Z,Edit,1bOOww0PCfgB0C_Nx3DQ8wBdNkB6xk1LhSUvCc4bPrU0,file4,112627686161565491345,drew@accord.foundation
2024-08-15T04:50:17.856Z,Permission Change-to:can_view-from:can_edit-for:emily@accord.foundation,1bOOww0PCfgB0C_Nx3DQ8wBdNkB6xk1LhSUvCc4bPrU0,file4,112627686161565491345,drew@accord.foundation
2024-08-15T04:50:14.191Z,Permission Change-to:none-from:can_edit-for:drew@accord.foundation,1KJMde5A9Bi6HRts_t_C1yYyQNXK05NTeutOwuBV2rEw,file3,105806898968975168992,bob@accord.foundation
2024-08-15T04:50:12.167Z,Edit,1KJMde5A9Bi6HRts_t_C1yYyQNXK05NTeutOwuBV2rEw,file3,105806898968975168992,bob@accord.foundation
2024-08-15T04:50:08.010Z,Permission Change-to:can_view-from:can_edit-for:emily@accord.foundation,1KJMde5A9Bi6HRts_t_C1yYyQNXK05NTeutOwuBV2rEw,file3,105806898968975168992,bob@accord.foundation
2024-08-15T04:50:06.119Z,Permission Change-to:can_edit-from:can_view/can_comment-for:drew@accord.foundation,1bOOww0PCfgB0C_Nx3DQ8wBdNkB6xk1LhSUvCc4bPrU0,file4,102378379302274418344,emily@accord.foundation
2024-08-15T04:50:03.570Z,Permission Change-to:none-from:can_view/can_comment-for:carol@accord.foundation,1vE8klIMPyzsIGyXOlmOFv8QLCYWOq57Ft_2TFZQyHcY,file2,112627686161565491345,drew@accord.foundation
2024-08-15T04:49:59.427Z,Edit,1vE8klIMPyzsIGyXOlmOFv8QLCYWOq57Ft_2TFZQyHcY,file2,112627686161565491345,drew@accord.foundation
2024-08-15T04:49:54.444Z,Edit,1bOOww0PCfgB0C_Nx3DQ8wBdNkB6xk1LhSUvCc4bPrU0,file4,104174300424369407986,carol@accord.foundation
2024-08-15T04:49:52.024Z,Edit,1bOOww0PCfgB0C_Nx3DQ8wBdNkB6xk1LhSUvCc4bPrU0,file4,104174300424369407986,carol@accord.foundation
2024-08-15T04:49:46.394Z,Permission Change-to:can_view-from:none-for:carol@accord.foundation,1KJMde5A9Bi6HRts_t_C1yYyQNXK05NTeutOwuBV2rEw,file3,105806898968975168992,bob@accord.foundation
2024-08-15T04:49:40.749Z,Edit,1bOOww0PCfgB0C_Nx3DQ8wBdNkB6xk1LhSUvCc4bPrU0,file4,102378379302274418344,emily@accord.foundation
2024-08-15T04:49:37.124Z,Edit,1KJMde5A9Bi6HRts_t_C1yYyQNXK05NTeutOwuBV2rEw,file3,112627686161565491345,drew@accord.foundation
2024-08-15T04:49:34.434Z,Edit,1dqEnPjdHweZy0OO7XeSpgGEBzYn5gZNo75uEO6XVqdw,file0,112627686161565491345,drew@accord.foundation
2024-08-15T04:49:31.289Z,Permission Change-to:none-from:can_view/can_comment-for:bob@accord.foundation,1vE8klIMPyzsIGyXOlmOFv8QLCYWOq57Ft_2TFZQyHcY,file2,112627686161565491345,drew@accord.foundation
2024-08-15T04:49:24.131Z,Edit,1bOOww0PCfgB0C_Nx3DQ8wBdNkB6xk1LhSUvCc4bPrU0,file4,102378379302274418344,emily@accord.foundation
