Activity_Time,Action,Doc_ID,Doc_Name,Actor_ID,Actor_Name
2024-08-15T04:58:18.444Z,Edit,1_qvFPdxvXAHfQpUfGTRHX91v1TbqKiqu1cc3GGVZkZs,file2,105806898968975168992,bob@accord.foundation
2024-08-15T04:58:15.016Z,Edit,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,105806898968975168992,bob@accord.foundation
2024-08-15T04:57:32.227Z,Permission Change-to:can_view-from:can_edit-for:carol@accord.foundation,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,102378379302274418344,emily@accord.foundation
2024-08-15T04:57:30.373Z,Permission Change-to:none-from:can_view-for:emily@accord.foundation,1VTV3li03xokIbV9RIIqrm3X632YBgdFxioGApvJlk2g,file0,105806898968975168992,bob@accord.foundation
2024-08-15T04:57:27.395Z,Permission Change-to:can_edit-from:owner-for:carol@accord.foundation,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,104174300424369407986,carol@accord.foundation
2024-08-15T04:57:27.395Z,Permission Change-to:owner-from:none-for:emily@accord.foundation,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,104174300424369407986,carol@accord.foundation
2024-08-15T04:57:23.691Z,Permission Change-to:can_edit-from:owner-for:bob@accord.foundation,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,105806898968975168992,bob@accord.foundation
2024-08-15T04:57:23.691Z,Permission Change-to:owner-from:none-for:carol@accord.foundation,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,105806898968975168992,bob@accord.foundation
2024-08-15T04:57:18.227Z,Permission Change-to:can_edit-from:none-for:drew@accord.foundation,1VTV3li03xokIbV9RIIqrm3X632YBgdFxioGApvJlk2g,file0,105806898968975168992,bob@accord.foundation
2024-08-15T04:57:15.292Z,Edit,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,105806898968975168992,bob@accord.foundation
2024-08-15T04:57:12.848Z,Permission Change-to:can_view-from:none-for:emily@accord.foundation,1VTV3li03xokIbV9RIIqrm3X632YBgdFxioGApvJlk2g,file0,105806898968975168992,bob@accord.foundation
2024-08-15T04:57:01.632Z,Permission Change-to:none-from:can_edit-for:emily@accord.foundation,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,102378379302274418344,emily@accord.foundation
2024-08-15T04:56:59.952Z,Edit,1_qvFPdxvXAHfQpUfGTRHX91v1TbqKiqu1cc3GGVZkZs,file2,105806898968975168992,bob@accord.foundation
2024-08-15T04:56:56.215Z,Permission Change-to:can_edit-from:owner-for:emily@accord.foundation,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,102378379302274418344,emily@accord.foundation
2024-08-15T04:56:56.215Z,Permission Change-to:owner-from:none-for:bob@accord.foundation,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,102378379302274418344,emily@accord.foundation
2024-08-15T04:56:49.387Z,Permission Change-to:none-from:can_view/can_comment-for:drew@accord.foundation,1-npvbmVA1ahIOa_EKO5cUyU-l60hqBar2KYGMHmv550,file4,105806898968975168992,bob@accord.foundation
2024-08-15T04:56:45.706Z,Edit,1N3z5BJqtH6Y_tSQSyyW3i-i3GvGzGfuXX6eobOMQz-E,file3,112627686161565491345,drew@accord.foundation
2024-08-15T04:56:41.548Z,Permission Change-to:can_view/can_comment-from:can_edit-for:drew@accord.foundation,1-npvbmVA1ahIOa_EKO5cUyU-l60hqBar2KYGMHmv550,file4,112627686161565491345,drew@accord.foundation
2024-08-15T04:56:38.933Z,Permission Change-to:none-from:can_view-for:carol@accord.foundation,1-npvbmVA1ahIOa_EKO5cUyU-l60hqBar2KYGMHmv550,file4,105806898968975168992,bob@accord.foundation
2024-08-15T04:56:36.310Z,Edit,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,102378379302274418344,emily@accord.foundation
2024-08-15T04:56:33.890Z,Edit,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,102378379302274418344,emily@accord.foundation
2024-08-15T04:56:26.467Z,Edit,1-npvbmVA1ahIOa_EKO5cUyU-l60hqBar2KYGMHmv550,file4,105806898968975168992,bob@accord.foundation
2024-08-15T04:56:22.280Z,Permission Change-to:can_view-from:can_view/can_comment-for:carol@accord.foundation,1-npvbmVA1ahIOa_EKO5cUyU-l60hqBar2KYGMHmv550,file4,112627686161565491345,drew@accord.foundation
2024-08-15T04:56:18.835Z,Permission Change-to:can_view/can_comment-from:can_edit-for:carol@accord.foundation,1-npvbmVA1ahIOa_EKO5cUyU-l60hqBar2KYGMHmv550,file4,112627686161565491345,drew@accord.foundation
2024-08-15T04:56:14.786Z,Permission Change-to:can_edit-from:owner-for:carol@accord.foundation,1-npvbmVA1ahIOa_EKO5cUyU-l60hqBar2KYGMHmv550,file4,104174300424369407986,carol@accord.foundation
2024-08-15T04:56:14.786Z,Permission Change-to:owner-from:none-for:bob@accord.foundation,1-npvbmVA1ahIOa_EKO5cUyU-l60hqBar2KYGMHmv550,file4,104174300424369407986,carol@accord.foundation
2024-08-15T04:56:12.775Z,Edit,1M4ShZv68eOU6U9zhlAS6KoYZnnlhkSP_LD9TWhhsyyE,file1,102378379302274418344,emily@accord.foundation
2024-08-15T04:56:10.245Z,Permission Change-to:none-from:can_edit-for:emily@accord.foundation,1VTV3li03xokIbV9RIIqrm3X632YBgdFxioGApvJlk2g,file0,105806898968975168992,bob@accord.foundation
2024-08-15T04:56:08.134Z,Permission Change-to:none-from:can_view-for:carol@accord.foundation,1N3z5BJqtH6Y_tSQSyyW3i-i3GvGzGfuXX6eobOMQz-E,file3,112627686161565491345,drew@accord.foundation
2024-08-15T04:56:06.332Z,Permission Change-to:none-from:can_edit-for:emily@accord.foundation,1N3z5BJqtH6Y_tSQSyyW3i-i3GvGzGfuXX6eobOMQz-E,file3,102378379302274418344,emily@accord.foundation
2024-08-15T04:56:04.552Z,Permission Change-to:none-from:can_view-for:alice@accord.foundation,1-npvbmVA1ahIOa_EKO5cUyU-l60hqBar2KYGMHmv550,file4,104174300424369407986,carol@accord.foundation
2024-08-15T04:56:02.509Z,Permission Change-to:can_view-from:none-for:alice@accord.foundation,1-npvbmVA1ahIOa_EKO5cUyU-l60hqBar2KYGMHmv550,file4,112627686161565491345,drew@accord.foundation
2024-08-15T04:55:59.681Z,Permission Change-to:can_edit-from:none-for:emily@accord.foundation,1VTV3li03xokIbV9RIIqrm3X632YBgdFxioGApvJlk2g,file0,105806898968975168992,bob@accord.foundation
