Activity_Time,Action,Doc_ID,Doc_Name,Actor_ID,Actor_Name
2024-10-19T04:58:40.542Z,Permission Change-to:can_edit-from:none-for:emily.19@accord.foundation,15foV4YX3FEbRnOCAA2r7y2SzHXz7ZXYs,folder571,3,drew.3@accord.foundation
2024-10-19T04:58:35.859Z,Permission Change-to:can_view-from:none-for:emily.44@accord.foundation,1RnaIFtTWTbJzSXiXmHwC_Ygd_jjL26q_,folder337,28,drew.28@accord.foundation
2024-10-19T04:58:32.229Z,Permission Change-to:can_edit-from:none-for:alice.20@accord.foundation,1U9VM_D8snqX8r_TQe2Iiae8n7b9HV-bi,folder625,46,bob.46@accord.foundation
2024-10-19T04:58:29.729Z,Create,1XQctth-HOUeHCVt09HiNGeh0lh3t_qmp,folder644,4,emily.4@accord.foundation
2024-10-19T04:58:29.729Z,Permission Change-to:owner-from:none-for:emily.4@accord.foundation,1XQctth-HOUeHCVt09HiNGeh0lh3t_qmp,folder644,4,emily.4@accord.foundation
2024-10-19T04:58:26.968Z,Edit,1ZfhvqVKq5CON_YLv4Jp-GkulSqPr2DT1OzDbUUMD6Tw,file643,14,emily.14@accord.foundation
2024-10-19T04:58:26.320Z,Edit,1ZfhvqVKq5CON_YLv4Jp-GkulSqPr2DT1OzDbUUMD6Tw,file643,14,emily.14@accord.foundation
2024-10-19T04:58:25.469Z,Create,1ZfhvqVKq5CON_YLv4Jp-GkulSqPr2DT1OzDbUUMD6Tw,file643,14,emily.14@accord.foundation
2024-10-19T04:58:25.469Z,Permission Change-to:owner-from:none-for:emily.14@accord.foundation,1ZfhvqVKq5CON_YLv4Jp-GkulSqPr2DT1OzDbUUMD6Tw,file643,14,emily.14@accord.foundation
2024-10-19T04:58:21.562Z,Permission Change-to:can_edit-from:none-for:carol.42@accord.foundation,11aF-9H1oup5rQtZSbFzLrNdRmvv46uxOSl4-2Kyza3M,file365,21,bob.21@accord.foundation
2024-10-19T04:58:19.095Z,Create,1Az8ERag-rsAXAx3Iqy0TsGnv5aN-hxUq,folder642,52,carol.52@accord.foundation
2024-10-19T04:58:19.095Z,Permission Change-to:owner-from:none-for:carol.52@accord.foundation,1Az8ERag-rsAXAx3Iqy0TsGnv5aN-hxUq,folder642,52,carol.52@accord.foundation
2024-10-19T04:58:17.137Z,Permission Change-to:can_view/can_comment-from:none-for:drew.23@accord.foundation,1U9VM_D8snqX8r_TQe2Iiae8n7b9HV-bi,folder625,46,bob.46@accord.foundation
2024-10-19T04:58:13.170Z,Delete,1oRnR0IqYcl6UgFbHxkRbSRKwiaHoF1fR,folder606,47,carol.47@accord.foundation
2024-10-19T04:58:11.427Z,Create,16Fw4QJXOqPUpdqPjN7JIGMiQOGLDLhuO,folder641,45,alice.45@accord.foundation
2024-10-19T04:58:11.427Z,Permission Change-to:owner-from:none-for:alice.45@accord.foundation,16Fw4QJXOqPUpdqPjN7JIGMiQOGLDLhuO,folder641,45,alice.45@accord.foundation
2024-10-19T04:58:05.660Z,Permission Change-to:can_view/can_comment-from:none-for:bob.21@accord.foundation,1KV5qgoYD0r2cxpjxb11L1hns_Nihr2V_3XhKj0b0Blg,file577,2,carol.2@accord.foundation
2024-10-19T04:58:04.021Z,Edit,1nV_BXiQDRliOTtU_rdbvS_E7FM6Vl9P60nyq2Rk2L6s,file640,36,bob.36@accord.foundation
2024-10-19T04:58:02.328Z,Move:Root:folder436,1nV_BXiQDRliOTtU_rdbvS_E7FM6Vl9P60nyq2Rk2L6s,file640,36,bob.36@accord.foundation
2024-10-19T04:58:01.726Z,Create,1nV_BXiQDRliOTtU_rdbvS_E7FM6Vl9P60nyq2Rk2L6s,file640,36,bob.36@accord.foundation
